gia_ban,loai_hinh,dien_tich_dat,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,duong_lon,vi_tri_dat,garage,san_vuon,hai_mat_tien,view,vi_tri_trung_tam,truong_hoc,san_bay,benh_vien,sieu_thi,giao_thong,giai_tri,dia_diem_dac_biet,phuong,gia_m2_tham_khao
18000000000.0,"Nhà ngõ, hẻm",110.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Hẻm xe hơi,5.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Phường Bình Thạnh,110000000.0
14500000000.0,"Nhà mặt phố, mặt tiền",64.0,Đã có sổ,6.0,3.0,4.0,Không rõ,Thông thường,4.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,Phường Gia Định,250000000.0
6800000000.0,"Nhà ngõ, hẻm",41.3,Đã có sổ,3.0,3.0,3.0,Nội thất đầy đủ,Thông thường,4.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,Phường Bình Lợi Trung,135150000.0
8199999999.999999,"Nhà ngõ, hẻm",45.0,Đã có sổ,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,5.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Phường Gia Định,119520000.0
2700000000.0,"Nhà ngõ, hẻm",31.0,Đã có sổ,1.0,1.0,2.0,Hoàn thiện cơ bản,Thông thường,2.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Phường Bình Thạnh,140000000.0
6500000000.0,"Nhà ngõ, hẻm",53.0,Đã có sổ,1.0,1.0,3.0,Không rõ,Nhà nát,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Gia Định,173530000.0
5800000000.0,"Nhà ngõ, hẻm",31.0,Đã có sổ,3.0,3.0,2.0,Nội thất đầy đủ,Hẻm xe hơi,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Lợi Trung,135760000.0
10100000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,4.0,3.0,6.0,Nội thất đầy đủ,Hẻm xe hơi,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Phường Gia Định,173530000.0
7600000000.0,"Nhà ngõ, hẻm",43.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Hẻm xe hơi,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Phường Bình Thạnh,171740000.0
3800000000.0,"Nhà mặt phố, mặt tiền",19.0,Đã có sổ,1.0,3.0,2.0,Không rõ,Thông thường,4.2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Phường Bình Thạnh,213790000.0
10000000000.0,"Nhà mặt phố, mặt tiền",52.0,Đã có sổ,4.0,3.0,3.0,Không rõ,Thông thường,4.25,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Phường Bình Lợi Trung,142220000.0
11800000000.0,"Nhà ngõ, hẻm",87.0,Đã có sổ,3.0,5.0,3.0,Không rõ,Hẻm xe hơi,4.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Phường Bình Lợi Trung,135150000.0
9300000000.0,"Nhà ngõ, hẻm",60.0,Đã có sổ,4.0,4.0,4.0,Nội thất đầy đủ,Hẻm xe hơi,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Gia Định,140910000.0
2900000000.0,"Nhà ngõ, hẻm",32.0,Đã có sổ,2.0,2.0,2.0,Không rõ,Thông thường,3.0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,Phường Bình Quới,65040000.00000001
2350000000.0,"Nhà ngõ, hẻm",15.0,Đã có sổ,2.0,2.0,3.0,Nội thất cao cấp,Thông thường,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Lợi Trung,157600000.0
3800000000.0,"Nhà mặt phố, mặt tiền",19.0,Đã có sổ,1.0,2.0,2.0,Không rõ,Thông thường,3.3,1,0,0,0,0,0,1,1,0,0,1,0,0,0,Phường Bình Thạnh,213790000.0
7880000000.0,"Nhà ngõ, hẻm",50.0,Đã có sổ,4.0,4.0,4.0,Nội thất cao cấp,Hẻm xe hơi,4.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Phường Bình Lợi Trung,157600000.0
7590000000.0,"Nhà ngõ, hẻm",67.0,Đã có sổ,4.0,3.0,2.0,Nội thất cao cấp,Nhà nở hậu,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Bình Thạnh,155560000.0
19500000000.0,"Nhà ngõ, hẻm",80.0,Đã có sổ,4.0,3.0,4.0,Nội thất đầy đủ,Hẻm xe hơi,4.0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,Phường Thạnh Mỹ Tây,150000000.0
7650000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,3.0,4.0,5.0,Nội thất đầy đủ,Hẻm xe hơi,5.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Phường Bình Lợi Trung,132729999.99999999
7400000000.0,"Nhà ngõ, hẻm",45.0,Đã có sổ,3.0,4.0,4.0,Nội thất đầy đủ,Hiện trạng khác,5.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Phường Thạnh Mỹ Tây,94840000.0
7900000000.0,"Nhà ngõ, hẻm",52.0,Đã có sổ,2.0,2.0,2.0,Hoàn thiện cơ bản,Hẻm xe hơi,3.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Phường Bình Lợi Trung,158100000.0
15999000000.0,"Nhà ngõ, hẻm",64.0,Chưa xác định,4.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,Phường Bình Lợi Trung,162570000.0
7500000000.0,"Nhà ngõ, hẻm",47.0,Chưa xác định,7.0,3.0,3.0,Không rõ,Thông thường,3.8,1,1,0,0,0,0,1,0,1,0,0,0,1,0,Phường Gia Định,173530000.0
4590000000.0,"Nhà ngõ, hẻm",25.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Nhà nở hậu,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Phường Gia Định,175000000.0
7600000000.0,"Nhà ngõ, hẻm",41.0,Chưa xác định,2.0,3.0,2.0,Không rõ,Hẻm xe hơi,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,157890000.0
11900000000.0,"Nhà ngõ, hẻm",81.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Nhà nát,4.06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Gia Định,170000000.0
5350000000.0,"Nhà ngõ, hẻm",38.8,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Thông thường,3.3,1,0,0,0,0,0,1,1,0,0,1,0,0,0,Phường Bình Lợi Trung,162500000.0
6000000000.0,"Nhà ngõ, hẻm",56.0,Đã có sổ,2.0,2.0,1.0,Nội thất đầy đủ,Thông thường,4.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Phường Bình Thạnh,110000000.0
2340000000.0,"Nhà ngõ, hẻm",12.5,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Thông thường,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Lợi Trung,132729999.99999999
3940000000.0,"Nhà ngõ, hẻm",22.8,Đã có sổ,2.0,2.0,4.0,Nội thất đầy đủ,Thông thường,4.2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Phường Bình Thạnh,110000000.0
12000000000.0,"Nhà ngõ, hẻm",110.0,Đã có sổ,4.0,3.0,2.0,Không rõ,Hẻm xe hơi,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,176330000.0
6480000000.0,"Nhà ngõ, hẻm",60.0,Đã có sổ,3.0,2.0,2.0,Không rõ,Thông thường,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Gia Định,152160000.0
5200000000.0,"Nhà ngõ, hẻm",35.0,Đã có sổ,5.0,4.0,4.0,Không rõ,Nhà nở hậu,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Bình Thạnh,148980000.0
9990000000.0,"Nhà ngõ, hẻm",115.0,Đã có sổ,10.0,6.0,1.0,Hoàn thiện cơ bản,Thông thường,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,146500000.0
5000000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,2.0,3.0,2.0,Nội thất đầy đủ,Hẻm xe hơi,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Phường Gia Định,175000000.0
1900000000.0,"Nhà ngõ, hẻm",16.2,Đã có sổ,2.0,3.0,3.0,Nội thất cao cấp,Hẻm xe hơi,2.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Phường Bình Lợi Trung,151050000.0
7600000000.0,"Nhà ngõ, hẻm",43.0,Đã có sổ,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,3.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,Phường Bình Thạnh,171740000.0
4950000000.0,"Nhà ngõ, hẻm",25.0,Chưa xác định,2.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Bình Lợi Trung,132729999.99999999
13400000000.0,"Nhà ngõ, hẻm",73.6,Đã có sổ,8.0,6.0,6.0,Nội thất đầy đủ,Hẻm xe hơi,4.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Phường Bình Thạnh,140000000.0
7990000000.0,"Nhà ngõ, hẻm",64.0,Đã có sổ,5.0,3.0,3.0,Không rõ,Thông thường,4.0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,Phường Gia Định,124290000.0
4750000000.0,"Nhà ngõ, hẻm",54.0,Đã có sổ,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Phường Bình Lợi Trung,140000000.0
5450000000.0,"Nhà ngõ, hẻm",36.0,Đã có sổ,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,Phường Gia Định,124290000.0
8950000000.0,"Nhà ngõ, hẻm",82.0,Đã có sổ,4.0,3.0,3.0,Không rõ,Thông thường,4.0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,Phường Gia Định,170640000.0
5950000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Hẻm xe hơi,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Phường Thạnh Mỹ Tây,150910000.0
